,dates,urate_ui
0,1976-01-31,0.0630272298260545
1,1976-02-29,0.05984536444011538
2,1976-03-31,0.06009890641936053
3,1976-04-30,0.058439966817488684
4,1976-05-31,0.06217706089939475
5,1976-06-30,0.05952527211866137
6,1976-07-31,0.06102757981377102
7,1976-08-31,0.05807904203714025
8,1976-09-30,0.05972606356632408
9,1976-10-31,0.06076984838733388
10,1976-11-30,0.060400360370234635
11,1976-12-31,0.06034729704305355
12,1977-01-31,0.06169755609259772
13,1977-02-28,0.06094399964085815
14,1977-03-31,0.058528988260923
15,1977-04-30,0.05759528725783335
16,1977-05-31,0.058809880652433096
17,1977-06-30,0.05846003756728457
18,1977-07-31,0.060028737651141494
19,1977-08-31,0.05716239229935378
20,1977-09-30,0.05951795926582755
21,1977-10-31,0.058878621765395114
22,1977-11-30,0.058131140503063276
23,1977-12-31,0.057677287746509924
24,1978-01-31,0.057230466904212095
25,1978-02-28,0.05940242312691107
26,1978-03-31,0.05733521090978314
27,1978-04-30,0.056470347493065315
28,1978-05-31,0.05853675615565626
29,1978-06-30,0.057092745720951174
30,1978-07-31,0.05726107007879992
31,1978-08-31,0.05593370592602328
32,1978-09-30,0.05804417131815272
33,1978-10-31,0.05674263663782199
34,1978-11-30,0.05896918158335054
35,1978-12-31,0.05762293959482595
36,1979-01-31,0.057620915337873405
37,1979-02-28,0.05888686325000461
38,1979-03-31,0.05701522969897757
39,1979-04-30,0.056813180809450574
40,1979-05-31,0.05657766237118876
41,1979-06-30,0.05662027324507547
42,1979-07-31,0.05801576967335369
43,1979-08-31,0.059176910354526185
44,1979-09-30,0.059168387755268115
45,1979-10-31,0.05672398429992969
46,1979-11-30,0.06023635181635977
47,1979-12-31,0.05550108677172814
48,1980-01-31,0.05748122593990943
49,1980-02-29,0.05980347310601061
50,1980-03-31,0.060618457079861104
51,1980-04-30,0.059765359378269836
52,1980-05-31,0.06253799300871574
53,1980-06-30,0.06259775810077224
54,1980-07-31,0.060324363545844965
55,1980-08-31,0.06087180575226915
56,1980-09-30,0.06221875457845772
57,1980-10-31,0.061799803768723266
58,1980-11-30,0.06046141742599099
59,1980-12-31,0.061176753287271915
60,1981-01-31,0.060481990757736775
61,1981-02-28,0.06119895369378197
62,1981-03-31,0.061802051070091645
63,1981-04-30,0.06080470536986226
64,1981-05-31,0.060909236642935245
65,1981-06-30,0.05953273970937846
66,1981-07-31,0.06083009975952293
67,1981-08-31,0.059118774360162656
68,1981-09-30,0.06025225076570531
69,1981-10-31,0.061646951887964985
70,1981-11-30,0.06218669167266646
71,1981-12-31,0.061015701164798514
72,1982-01-31,0.06217327948828467
73,1982-02-28,0.06253297364581506
74,1982-03-31,0.06294755101979549
75,1982-04-30,0.06299184651568379
76,1982-05-31,0.06405979466804947
77,1982-06-30,0.06321959471219082
78,1982-07-31,0.06379283496605968
79,1982-08-31,0.06326812126052545
80,1982-09-30,0.0642846201580353
81,1982-10-31,0.06530174322225163
82,1982-11-30,0.06447644138099429
83,1982-12-31,0.06477152514670485
84,1983-01-31,0.06491937844348043
85,1983-02-28,0.06563409903646583
86,1983-03-31,0.06435364051616874
87,1983-04-30,0.06405071915837751
88,1983-05-31,0.06356275965712
89,1983-06-30,0.06228888945834551
90,1983-07-31,0.06351287144619944
91,1983-08-31,0.0618768452106329
92,1983-09-30,0.06241021209543661
93,1983-10-31,0.062696175567629
94,1983-11-30,0.062129842725485884
95,1983-12-31,0.0609904529180843
96,1984-01-31,0.06128385460011017
97,1984-02-29,0.061704793055757504
98,1984-03-31,0.06251828941756613
99,1984-04-30,0.06131044622427128
100,1984-05-31,0.0602559948789514
101,1984-06-30,0.06092384718604625
102,1984-07-31,0.05997523728522542
103,1984-08-31,0.05977309938741975
104,1984-09-30,0.05969978220618304
105,1984-10-31,0.05852881975895641
106,1984-11-30,0.06123376016832892
107,1984-12-31,0.05981561728269369
108,1985-01-31,0.061102096906390346
109,1985-02-28,0.06095922975794502
110,1985-03-31,0.06004911354498935
111,1985-04-30,0.05994830148541061
112,1985-05-31,0.06137767561332699
113,1985-06-30,0.059569457887954286
114,1985-07-31,0.05786473324211519
115,1985-08-31,0.06055757427964822
116,1985-09-30,0.05916792852746469
117,1985-10-31,0.05784062989321704
118,1985-11-30,0.06149713947957101
119,1985-12-31,0.05680054335117783
120,1986-01-31,0.06035079484613292
121,1986-02-28,0.0618069525996844
122,1986-03-31,0.06032090722041525
123,1986-04-30,0.06060664090663343
124,1986-05-31,0.06263626713678538
125,1986-06-30,0.05960127293186586
126,1986-07-31,0.06028286024970405
127,1986-08-31,0.06024299928651405
128,1986-09-30,0.060359607751393644
129,1986-10-31,0.06069044148635942
130,1986-11-30,0.06102533730269499
131,1986-12-31,0.0618049865312618
132,1987-01-31,0.06025059223242187
133,1987-02-28,0.0604469900736241
134,1987-03-31,0.05872148863354279
135,1987-04-30,0.061148713043523054
136,1987-05-31,0.05997003250111882
137,1987-06-30,0.06049493989145427
138,1987-07-31,0.0610945569657359
139,1987-08-31,0.058253732724152366
140,1987-09-30,0.06040409127944638
141,1987-10-31,0.05969072942783394
142,1987-11-30,0.05792559483290653
143,1987-12-31,0.0581446226247089
144,1988-01-31,0.06036380176195971
145,1988-02-29,0.059522655101173105
146,1988-03-31,0.059765396251328796
147,1988-04-30,0.05831255819921799
148,1988-05-31,0.05991965461107708
149,1988-06-30,0.06119550917451948
150,1988-07-31,0.0594376654504375
151,1988-08-31,0.05878751133410366
152,1988-09-30,0.056869511053890154
153,1988-10-31,0.060298258578052606
154,1988-11-30,0.05955802432121585
155,1988-12-31,0.059361608385008854
156,1989-01-31,0.058443687381498875
157,1989-02-28,0.05710493900403345
158,1989-03-31,0.061562139955821105
159,1989-04-30,0.05731612182211726
160,1989-05-31,0.058731486520121015
161,1989-06-30,0.06019428925268969
162,1989-07-31,0.06044854940998756
163,1989-08-31,0.059492055629690656
164,1989-09-30,0.05915575161352684
165,1989-10-31,0.05876232927507388
166,1989-11-30,0.06030976970144892
