,dates,urate_ie
0,1976-01-31,0.06144792437908241
1,1976-02-29,0.05993529844943619
2,1976-03-31,0.05636908986678599
3,1976-04-30,0.05773010712379911
4,1976-05-31,0.055904093583664057
5,1976-06-30,0.05559983657734329
6,1976-07-31,0.057692279646354545
7,1976-08-31,0.055849831428693375
8,1976-09-30,0.05847311885659751
9,1976-10-31,0.05860981753340704
10,1976-11-30,0.05706459721265523
11,1976-12-31,0.061499190202098125
12,1977-01-31,0.05922170607892449
13,1977-02-28,0.05914379396027285
14,1977-03-31,0.05779794193394747
15,1977-04-30,0.05824564098769399
16,1977-05-31,0.05331666227526183
17,1977-06-30,0.05981374819116095
18,1977-07-31,0.059173429123771396
19,1977-08-31,0.055292653848100205
20,1977-09-30,0.056663417016105166
21,1977-10-31,0.05835108123415153
22,1977-11-30,0.05886978829127111
23,1977-12-31,0.058570085930955224
24,1978-01-31,0.058276256166631596
25,1978-02-28,0.05728783352132866
26,1978-03-31,0.05662724926863439
27,1978-04-30,0.05923450810486772
28,1978-05-31,0.05286221801250098
29,1978-06-30,0.05753514890092552
30,1978-07-31,0.05790126441559215
31,1978-08-31,0.0534333093307512
32,1978-09-30,0.057692283070098146
33,1978-10-31,0.05700518673571123
34,1978-11-30,0.0598836063324563
35,1978-12-31,0.057541941959312365
36,1979-01-31,0.058751114219268985
37,1979-02-28,0.05654843097430675
38,1979-03-31,0.05761919633355094
39,1979-04-30,0.05782213253465558
40,1979-05-31,0.053051807332959784
41,1979-06-30,0.05677448038863307
42,1979-07-31,0.05611115447712324
43,1979-08-31,0.05487184542962286
44,1979-09-30,0.05752384361478382
45,1979-10-31,0.05570425306485373
46,1979-11-30,0.05856063091104224
47,1979-12-31,0.058777977523750656
48,1980-01-31,0.05808423602220791
49,1980-02-29,0.05759628577373941
50,1980-03-31,0.05917262240688395
51,1980-04-30,0.05661051651561161
52,1980-05-31,0.057154949935662155
53,1980-06-30,0.05773133423279453
54,1980-07-31,0.05713393034288697
55,1980-08-31,0.05629849508119121
56,1980-09-30,0.0568776723085801
57,1980-10-31,0.05873698362050629
58,1980-11-30,0.05932399629018118
59,1980-12-31,0.05935440051908552
60,1981-01-31,0.0622991337412188
61,1981-02-28,0.059113329033125654
62,1981-03-31,0.05558381745562423
63,1981-04-30,0.05761037359318214
64,1981-05-31,0.059063714743257965
65,1981-06-30,0.05512186121360692
66,1981-07-31,0.06015691948070088
67,1981-08-31,0.05920157289096001
68,1981-09-30,0.055360256344594905
69,1981-10-31,0.06126053867780864
70,1981-11-30,0.06240537622742985
71,1981-12-31,0.059792930078049804
72,1982-01-31,0.06234886040355978
73,1982-02-28,0.059267029379198415
74,1982-03-31,0.05884988518112179
75,1982-04-30,0.059771785654453714
76,1982-05-31,0.059534696888714364
77,1982-06-30,0.05638655145067283
78,1982-07-31,0.06075447637499924
79,1982-08-31,0.056644103687271186
80,1982-09-30,0.06072503746197559
81,1982-10-31,0.060111184656077295
82,1982-11-30,0.06277884096828273
83,1982-12-31,0.06364178724812806
84,1983-01-31,0.06346209768644129
85,1983-02-28,0.061130682314620474
86,1983-03-31,0.060073331695090215
87,1983-04-30,0.060221509823871616
88,1983-05-31,0.05616619803896141
89,1983-06-30,0.058849728495761096
90,1983-07-31,0.06100587571121401
91,1983-08-31,0.05650706252051661
92,1983-09-30,0.059670254938621485
93,1983-10-31,0.05940440055731899
94,1983-11-30,0.05933468441036574
95,1983-12-31,0.060856809458321524
96,1984-01-31,0.059613526949864055
97,1984-02-29,0.06042957392369648
98,1984-03-31,0.06089399982907425
99,1984-04-30,0.05750155085052273
100,1984-05-31,0.05491237067779001
101,1984-06-30,0.05786800742277977
102,1984-07-31,0.057402337527337116
103,1984-08-31,0.0577678833435649
104,1984-09-30,0.0595158393297173
105,1984-10-31,0.05732805352943475
106,1984-11-30,0.058964908412755326
107,1984-12-31,0.059375011020074864
108,1985-01-31,0.05838269526078158
109,1985-02-28,0.059405593180454096
110,1985-03-31,0.0585230023877626
111,1985-04-30,0.056045288893012996
112,1985-05-31,0.058263211639718974
113,1985-06-30,0.0573314534946936
114,1985-07-31,0.05645640991535136
115,1985-08-31,0.056655599820746326
116,1985-09-30,0.05802654207054936
117,1985-10-31,0.05953824203100851
118,1985-11-30,0.06062152569089931
119,1985-12-31,0.058190037531803754
120,1986-01-31,0.06098049781001259
121,1986-02-28,0.05841126802491175
122,1986-03-31,0.059568136772545265
123,1986-04-30,0.05593791758766145
124,1986-05-31,0.057078197652395656
125,1986-06-30,0.05685473251736212
126,1986-07-31,0.05786086988591576
127,1986-08-31,0.058406450418476016
128,1986-09-30,0.057194767206068184
129,1986-10-31,0.05916044274056509
130,1986-11-30,0.05917106926840577
131,1986-12-31,0.060260599751030736
132,1987-01-31,0.06055852805989478
133,1987-02-28,0.05842171534949173
134,1987-03-31,0.05691631967606352
135,1987-04-30,0.057525275058296514
136,1987-05-31,0.05757591790618995
137,1987-06-30,0.05598706241609018
138,1987-07-31,0.05832020515082455
139,1987-08-31,0.05878437857983716
140,1987-09-30,0.05530521626639303
141,1987-10-31,0.05900232928671554
142,1987-11-30,0.05799903648416667
143,1987-12-31,0.058233146930838066
144,1988-01-31,0.05766264844866543
145,1988-02-29,0.05776830987884917
146,1988-03-31,0.055773033956193305
147,1988-04-30,0.05723051054917224
148,1988-05-31,0.05393565450401499
149,1988-06-30,0.05790827371198788
150,1988-07-31,0.05869676390701362
151,1988-08-31,0.05675813054502597
152,1988-09-30,0.05741450254837482
153,1988-10-31,0.056491805387323527
154,1988-11-30,0.05823834782363819
155,1988-12-31,0.05667776741464157
156,1989-01-31,0.05796742726661329
157,1989-02-28,0.056971529655307766
158,1989-03-31,0.05758947134925511
159,1989-04-30,0.05809315533906456
160,1989-05-31,0.05509332373700642
161,1989-06-30,0.05781892701387939
162,1989-07-31,0.05894705822557075
163,1989-08-31,0.055962734299059076
164,1989-09-30,0.057058638249994575
165,1989-10-31,0.055475899051722316
166,1989-11-30,0.06015657677899199
167,1989-12-31,0.05749056901335141
168,1990-01-31,0.05635076546227746
169,1990-02-28,0.05557849479732167
170,1990-03-31,0.05666448916584555
171,1990-04-30,0.05686147829500926
172,1990-05-31,0.05572185089023365
173,1990-06-30,0.05671159891796813
174,1990-07-31,0.058100298559635104
175,1990-08-31,0.05791423831174525
176,1990-09-30,0.05862482097541297
177,1990-10-31,0.057078694304461344
178,1990-11-30,0.05835841291346568
179,1990-12-31,0.061399972242199945
180,1991-01-31,0.05849969313991905
181,1991-02-28,0.05801910823232246
182,1991-03-31,0.060160440681939556
