,dates,urate_ei
0,1976-01-31,0.06305791017771771
1,1976-02-29,0.06031282273995742
2,1976-03-31,0.06254178068357319
3,1976-04-30,0.06329138859361404
4,1976-05-31,0.06282940499545661
5,1976-06-30,0.06362807241588292
6,1976-07-31,0.062438664482131485
7,1976-08-31,0.07011280716985033
8,1976-09-30,0.060469960967279655
9,1976-10-31,0.061393534795943616
10,1976-11-30,0.06204695294348684
11,1976-12-31,0.06317303118572688
12,1977-01-31,0.05928907124899654
13,1977-02-28,0.05906065722473075
14,1977-03-31,0.061944815882947764
15,1977-04-30,0.06274055823495273
16,1977-05-31,0.06394647777303243
17,1977-06-30,0.06172542750373285
18,1977-07-31,0.0602581233738555
19,1977-08-31,0.06820238544442073
20,1977-09-30,0.06192268029284898
21,1977-10-31,0.05953864948776184
22,1977-11-30,0.060864837550386866
23,1977-12-31,0.061875689354643576
24,1978-01-31,0.06288436740853666
25,1978-02-28,0.06114775721729619
26,1978-03-31,0.05854633511606359
27,1978-04-30,0.06054704499304558
28,1978-05-31,0.0639110123942412
29,1978-06-30,0.06186485812137948
30,1978-07-31,0.05988829921634084
31,1978-08-31,0.06883471643906225
32,1978-09-30,0.06097506934483625
33,1978-10-31,0.06414533233899687
34,1978-11-30,0.058338551321311695
35,1978-12-31,0.0626839836811741
36,1979-01-31,0.06177096594825115
37,1979-02-28,0.06063578772017657
38,1979-03-31,0.06121454730009946
39,1979-04-30,0.062375412822104175
40,1979-05-31,0.06363313957607403
41,1979-06-30,0.06079476172982234
42,1979-07-31,0.06324645688479574
43,1979-08-31,0.06550554731551811
44,1979-09-30,0.061231378202602375
45,1979-10-31,0.06278933870016977
46,1979-11-30,0.05923758339765765
47,1979-12-31,0.06074104841842439
48,1980-01-31,0.06112654333311903
49,1980-02-29,0.06027261511309387
50,1980-03-31,0.05798036389635191
51,1980-04-30,0.06146946036759818
52,1980-05-31,0.06126087661924526
53,1980-06-30,0.05855559559072692
54,1980-07-31,0.060981314653628195
55,1980-08-31,0.06511699971679281
56,1980-09-30,0.06231915627686086
57,1980-10-31,0.05951435328084188
58,1980-11-30,0.06090128487830361
59,1980-12-31,0.05907886866103199
60,1981-01-31,0.05888533022590985
61,1981-02-28,0.05733863611254789
62,1981-03-31,0.05996895148539883
63,1981-04-30,0.05877533250481599
64,1981-05-31,0.06165330426427525
65,1981-06-30,0.060606010440092055
66,1981-07-31,0.05788743778463862
67,1981-08-31,0.06528900539353105
68,1981-09-30,0.06021352326638328
69,1981-10-31,0.05836761263333855
